work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level,Full-Time,Machine Learning Engineer,267720,USD,267720,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,140000,USD,140000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,118000,USD,118000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,102000,USD,102000,US,Fully Remote,United States,M
2021,Mid-level,Full-Time,Data Researcher,48000,EUR,56738,FR,Hybrid,France,S
2023,Senior-level,Full-Time,Data Analyst,112000,USD,112000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,125000,USD,125000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,267900,USD,267900,US,On-site,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,210100,USD,210100,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2024,Senior-level,Full-Time,Business Intelligence,130000,USD,130000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,95490,USD,95490,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Engineer,90000,USD,90000,US,Hybrid,Canada,L
2022,Senior-level,Full-Time,Data Analyst,120600,USD,120600,US,Fully Remote,United States,M
2022,Entry-level/Junior,Full-Time,Data Analyst,58000,EUR,60938,DE,On-site,Germany,L
2022,Senior-level,Full-Time,Data Scientist,260000,USD,260000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Scientist,144200,USD,144200,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,171500,USD,171500,US,On-site,United States,M
2023,Mid-level,Full-Time,Business Intelligence,79600,USD,79600,US,On-site,United States,L
2023,Senior-level,Full-Time,Machine Learning Engineer,226600,USD,226600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,51962,USD,51962,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,95000,USD,95000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,185000,USD,185000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,131000,USD,131000,US,On-site,United States,M
2022,Entry-level/Junior,Full-Time,Data Analyst,100000,USD,100000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,126500,USD,126500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2024,Mid-level,Full-Time,Data Scientist,111600,USD,111600,US,On-site,United States,L
2024,Entry-level/Junior,Full-Time,Data Analyst,83300,USD,83300,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,94000,USD,94000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,140000,USD,140000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,300000,USD,300000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,90700,USD,90700,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,283780,USD,283780,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,180400,USD,180400,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,105700,USD,105700,US,On-site,United States,L
2023,Senior-level,Full-Time,Data Scientist,59000,EUR,63701,CY,Hybrid,Estonia,L
2023,Senior-level,Full-Time,Machine Learning Engineer,150000,USD,150000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,130000,USD,130000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,57800,USD,57800,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,72500,USD,72500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,116000,USD,116000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,309400,USD,309400,US,On-site,United States,L
2023,Senior-level,Full-Time,Data Engineer,81500,USD,81500,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Management,90000,GBP,110736,GB,Fully Remote,United Kingdom,M
2024,Senior-level,Full-Time,Machine Learning Engineer,170000,USD,170000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,86600,USD,86600,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,94400,USD,94400,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,150000,USD,150000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,120000,USD,120000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,100000,USD,100000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Analyst,77000,USD,77000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,287500,USD,287500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,188500,USD,188500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Management,65000,USD,65000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Researcher,600000,USD,600000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,260000,USD,260000,US,On-site,United States,L
2024,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,85000,USD,85000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,288000,USD,288000,US,Fully Remote,United States,M
2024,Entry-level/Junior,Full-Time,Data Scientist,37120,USD,37120,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,70000,USD,70000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,98500,USD,98500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,180000,USD,180000,US,On-site,United States,M
2024,Mid-level,Full-Time,Business Intelligence,154800,USD,154800,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,316000,USD,316000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,142200,USD,142200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,132192,USD,132192,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,205000,USD,205000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,118500,USD,118500,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Engineer,130000,USD,130000,SE,Fully Remote,Sweden,S
2023,Senior-level,Full-Time,Data Analyst,75000,GBP,92280,GB,On-site,United Kingdom,M
2023,Mid-level,Full-Time,Data Analyst,128000,USD,128000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,243800,USD,243800,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Analyst,50000,GBP,61520,GB,On-site,United Kingdom,M
2023,Senior-level,Full-Time,Data Engineer,57826,EUR,62433,IT,Fully Remote,Italy,M
2023,Senior-level,Full-Time,Data Scientist,120000,USD,120000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,178600,USD,178600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,75000,USD,75000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,120000,USD,120000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Analyst,80000,USD,80000,US,On-site,United States,M
2022,Mid-level,Full-Time,Data Engineer,60000,EUR,63040,ES,Fully Remote,Spain,M
2024,Mid-level,Full-Time,Data Scientist,125000,USD,125000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,203920,USD,203920,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,87570,USD,87570,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,150000,USD,150000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Scientist,47840,USD,47840,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,231000,USD,231000,US,Fully Remote,United States,M
2023,Executive-level,Full-Time,Data Scientist,375500,USD,375500,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Scientist,90000,USD,90000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,164000,USD,164000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,324000,USD,324000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,275000,USD,275000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Business Intelligence,92000,USD,92000,AU,On-site,Australia,M
2023,Senior-level,Full-Time,Data Researcher,157250,USD,157250,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Operation,148700,USD,148700,US,Fully Remote,United States,L
2024,Mid-level,Full-Time,Data Scientist,160000,USD,160000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Researcher,155000,USD,155000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,102000,USD,102000,US,On-site,United States,M
2023,Mid-level,Full-Time,Machine Learning Engineer,200000,USD,200000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,75000,USD,75000,US,Fully Remote,United States,M
2022,Mid-level,Contract,Data Scientist,93000,EUR,97712,IT,Fully Remote,Netherlands,L
2023,Senior-level,Full-Time,Data Scientist,197000,USD,197000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,106605,USD,106605,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,171240,USD,171240,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,175000,USD,175000,US,On-site,United States,M
2023,Mid-level,Full-Time,Machine Learning Engineer,125000,USD,125000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Management,71500,USD,71500,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Data Engineer,35000,GBP,43064,GB,Fully Remote,United Kingdom,M
2022,Mid-level,Full-Time,Data Developer,100000,CAD,76814,CA,Fully Remote,Canada,M
2024,Senior-level,Full-Time,Machine Learning Engineer,212500,USD,212500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,120000,USD,120000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,273400,USD,273400,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,275500,USD,275500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,100000,USD,100000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,111000,USD,111000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,90320,USD,90320,US,Fully Remote,United States,M
2023,Executive-level,Full-Time,Data Scientist,230000,USD,230000,US,On-site,United States,M
2023,Mid-level,Full-Time,Business Intelligence,34160,GBP,42030,GB,On-site,United Kingdom,M
2023,Mid-level,Full-Time,Business Intelligence,140000,USD,140000,US,Fully Remote,United States,M
2022,Mid-level,Full-Time,Machine Learning Engineer,124000,USD,124000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,95000,USD,95000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Analyst,102000,USD,102000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,224500,USD,224500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,150000,USD,150000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,145000,USD,145000,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Data Analyst,80000,USD,80000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,126800,USD,126800,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Architect,173000,USD,173000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,170000,USD,170000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Architect,67200,USD,67200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,180000,USD,180000,US,On-site,United States,M
2024,Executive-level,Full-Time,Data Analyst,55000,GBP,68750,GB,On-site,United Kingdom,M
2023,Senior-level,Full-Time,Data Analyst,133300,USD,133300,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,160000,USD,160000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,142200,USD,142200,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,90000,USD,90000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,146000,USD,146000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Architect,90000,USD,90000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,172200,USD,172200,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,130000,USD,130000,US,Fully Remote,United States,L
2022,Senior-level,Full-Time,Data Scientist,179400,USD,179400,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,154600,USD,154600,US,Fully Remote,United States,L
2024,Senior-level,Full-Time,Data Researcher,159300,USD,159300,US,On-site,United States,M
2022,Entry-level/Junior,Full-Time,Machine Learning Engineer,45000,GBP,55410,GB,Fully Remote,United Kingdom,S
2023,Senior-level,Full-Time,Data Analyst,112000,USD,112000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,142200,USD,142200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,145000,USD,145000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,128000,USD,128000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,113600,USD,113600,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,93400,USD,93400,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,165000,USD,165000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,156400,USD,156400,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,150000,USD,150000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,165000,USD,165000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Business Intelligence,124400,USD,124400,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Business Intelligence,89500,USD,89500,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Business Intelligence,130800,USD,130800,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,183000,USD,183000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,126000,USD,126000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,172200,USD,172200,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Analyst,58400,USD,58400,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,247500,USD,247500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,204500,USD,204500,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Scientist,191475,USD,191475,US,Fully Remote,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,100000,USD,100000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,110000,USD,110000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Engineer,150000,USD,150000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,210000,USD,210000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,142200,USD,142200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,143000,USD,143000,US,Fully Remote,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,68000,USD,68000,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Analyst,75000,USD,75000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2023,Senior-level,Full-Time,Machine Learning Engineer,135000,USD,135000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,179000,USD,179000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,237400,USD,237400,GB,On-site,United Kingdom,M
2023,Senior-level,Full-Time,Business Intelligence,185000,USD,185000,US,On-site,United States,L
2023,Mid-level,Full-Time,Data Engineer,181700,USD,181700,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Developer,108000,USD,108000,UA,On-site,Ukraine,M
2024,Senior-level,Full-Time,Machine Learning Engineer,200070,USD,200070,CA,On-site,Canada,M
2023,Senior-level,Full-Time,Business Intelligence,115000,USD,115000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Analyst,144000,USD,144000,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Data Analyst,60000,USD,60000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,120000,USD,120000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,105700,USD,105700,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Business Intelligence,185000,USD,185000,US,On-site,United States,L
2023,Executive-level,Full-Time,Data Engineer,239000,USD,239000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,280000,USD,280000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Operation,110000,USD,110000,US,On-site,United States,M
2020,Senior-level,Full-Time,Machine Learning Engineer,157000,CAD,117104,CA,Hybrid,Canada,L
2023,Executive-level,Full-Time,Data Management,204500,USD,204500,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Scientist,65000,USD,65000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,168000,USD,168000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,152000,USD,152000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,238000,USD,238000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,128000,USD,128000,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,189400,USD,189400,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Management,167000,USD,167000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Management,226500,USD,226500,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,139700,USD,139700,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,85000,USD,85000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,60000,GBP,73824,GB,On-site,United Kingdom,M
2024,Mid-level,Full-Time,Data Management,250000,USD,250000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,233500,USD,233500,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Scientist,38000,USD,38000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,110600,USD,110600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,184800,USD,184800,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,129300,USD,129300,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,222200,USD,222200,US,On-site,United States,L
2023,Entry-level/Junior,Full-Time,Data Analyst,131600,USD,131600,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Analyst,131000,USD,131000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,85000,USD,85000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,201400,USD,201400,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,166500,USD,166500,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Business Intelligence,78800,USD,78800,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Architect,228000,USD,228000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2024,Senior-level,Full-Time,Machine Learning Engineer,216000,USD,216000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,98000,USD,98000,US,On-site,United States,M
2024,Mid-level,Full-Time,Business Intelligence,78300,USD,78300,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,101570,USD,101570,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Architect,306000,USD,306000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Developer,120000,USD,120000,CA,Fully Remote,France,M
2023,Senior-level,Full-Time,Data Analyst,70000,USD,70000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,139700,USD,139700,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,133000,USD,133000,AU,On-site,Australia,M
2023,Senior-level,Full-Time,Data Architect,92000,USD,92000,GB,Fully Remote,United Kingdom,M
2024,Senior-level,Full-Time,Data Engineer,139810,USD,139810,US,On-site,United States,M
2022,Mid-level,Full-Time,Data Engineer,95000,USD,95000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,225500,USD,225500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,80000,USD,80000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Architect,120000,GBP,150000,GB,On-site,United Kingdom,M
2022,Mid-level,Full-Time,Data Scientist,70000,GBP,86193,GB,On-site,United Kingdom,M
2024,Mid-level,Full-Time,Data Scientist,90000,USD,90000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,210000,USD,210000,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Analyst,80000,USD,80000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Scientist,35000,GBP,43064,GB,On-site,United Kingdom,M
2024,Mid-level,Full-Time,Data Engineer,200000,USD,200000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,145000,USD,145000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Analyst,1350000,INR,16417,IN,Fully Remote,India,L
2022,Mid-level,Full-Time,Data Engineer,160000,USD,160000,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Data Scientist,74540,USD,74540,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,126500,USD,126500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,212000,USD,212000,US,On-site,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,170000,USD,170000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,146000,USD,146000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,35000,GBP,43064,CF,Fully Remote,Central African Republic,M
2022,Senior-level,Full-Time,Data Engineer,210000,USD,210000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,169000,USD,169000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,170000,USD,170000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,189000,USD,189000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Business Intelligence,72600,USD,72600,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,191311,USD,191311,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,350000,USD,350000,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Engineer,85000,USD,85000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Researcher,193500,USD,193500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,129600,USD,129600,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,130000,USD,130000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,115000,USD,115000,US,Fully Remote,United States,M
2022,Executive-level,Full-Time,Data Engineer,310000,USD,310000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Scientist,90000,USD,90000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Scientist,90000,GBP,110820,GB,On-site,United Kingdom,M
2023,Senior-level,Full-Time,Machine Learning Engineer,153088,USD,153088,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Scientist,183200,USD,183200,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,305000,USD,305000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,165000,USD,165000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Engineer,150000,USD,150000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,200000,USD,200000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2024,Mid-level,Full-Time,Data Scientist,70000,USD,70000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,82500,USD,82500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,100000,USD,100000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,40000,GBP,50000,GB,On-site,United Kingdom,M
2023,Senior-level,Full-Time,Data Analyst,82000,USD,82000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Management,132300,USD,132300,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,129300,USD,129300,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,144500,USD,144500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,165000,USD,165000,US,On-site,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,135200,USD,135200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,168000,USD,168000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Architect,90000,GBP,112500,GB,On-site,United Kingdom,M
2024,Mid-level,Full-Time,Data Engineer,240960,USD,240960,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,92700,USD,92700,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,181500,USD,181500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,176000,USD,176000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,122000,USD,122000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,100000,USD,100000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,95000,USD,95000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,60000,GBP,73824,GB,On-site,United Kingdom,M
2024,Senior-level,Full-Time,Machine Learning Engineer,175000,USD,175000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,245000,USD,245000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Operation,60000,USD,60000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Architect,166375,USD,166375,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,104000,USD,104000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,89000,USD,89000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,60000,EUR,66666,ES,On-site,Spain,M
2024,Senior-level,Full-Time,Data Scientist,172500,USD,172500,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Architect,147800,USD,147800,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,105000,USD,105000,CA,On-site,Canada,M
2023,Senior-level,Full-Time,Data Engineer,150000,USD,150000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Business Intelligence,207600,USD,207600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,150000,USD,150000,US,On-site,United States,M
2023,Senior-level,Full-Time,Business Intelligence,142000,USD,142000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,119000,USD,119000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,80000,EUR,86374,ES,Fully Remote,Spain,L
2024,Senior-level,Full-Time,Data Engineer,282000,USD,282000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,200000,USD,200000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,75705,USD,75705,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,124000,USD,124000,CA,On-site,Canada,M
2024,Senior-level,Full-Time,Data Engineer,147500,USD,147500,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Architect,150000,USD,150000,US,On-site,United States,M
